"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 07 00:01:30 EEST 2020","Mon Sep 07 00:03:39 EEST 2020","129310","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 23:57:12 EEST 2020","Mon Sep 07 00:01:06 EEST 2020","234070","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 23:57:12 EEST 2020","Mon Sep 07 00:01:23 EEST 2020","251174","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Mon Sep 07 00:01:30 EEST 2020","Mon Sep 07 00:03:32 EEST 2020","121703","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 23:57:12 EEST 2020","Mon Sep 07 00:01:17 EEST 2020","245500","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
